cellID	cluster	color
B1_cell222	4	#0066FFFF
B1_cell223	2	#CCFF00FF
B1_cell224	4	#0066FFFF
B1_cell225	1	#FF0000FF
B1_cell226	5	#CC00FFFF
B1_cell227	4	#0066FFFF
B1_cell228	5	#CC00FFFF
B1_cell229	3	#00FF66FF
B1_cell230	2	#CCFF00FF
B1_cell231	5	#CC00FFFF
B1_cell232	4	#0066FFFF
B1_cell233	5	#CC00FFFF
B1_cell234	1	#FF0000FF
B1_cell235	5	#CC00FFFF
B1_cell236	4	#0066FFFF
B1_cell237	2	#CCFF00FF
B1_cell238	5	#CC00FFFF
B1_cell239	4	#0066FFFF
B1_cell240	5	#CC00FFFF
B1_cell241	4	#0066FFFF
B1_cell242	5	#CC00FFFF
B1_cell243	4	#0066FFFF
B1_cell244	3	#00FF66FF
B1_cell245	3	#00FF66FF
B1_cell246	3	#00FF66FF
B1_cell247	5	#CC00FFFF
B1_cell248	4	#0066FFFF
B1_cell249	5	#CC00FFFF
B1_cell250	5	#CC00FFFF
B1_cell251	5	#CC00FFFF
B1_cell252	2	#CCFF00FF
B1_cell253	3	#00FF66FF
B1_cell254	5	#CC00FFFF
B1_cell255	4	#0066FFFF
B1_cell256	1	#FF0000FF
B1_cell257	2	#CCFF00FF
B1_cell258	5	#CC00FFFF
B1_cell259	5	#CC00FFFF
B1_cell260	4	#0066FFFF
B1_cell261	5	#CC00FFFF
B1_cell262	3	#00FF66FF
B1_cell263	1	#FF0000FF
B1_cell264	3	#00FF66FF
B1_cell265	5	#CC00FFFF
B1_cell266	3	#00FF66FF
B1_cell267	3	#00FF66FF
B1_cell268	5	#CC00FFFF
B1_cell269	5	#CC00FFFF
B1_cell270	5	#CC00FFFF
B1_cell271	5	#CC00FFFF
B1_cell272	3	#00FF66FF
B1_cell273	2	#CCFF00FF
B1_cell274	5	#CC00FFFF
B1_cell275	4	#0066FFFF
B1_cell276	4	#0066FFFF
B1_cell277	5	#CC00FFFF
B1_cell278	4	#0066FFFF
B1_cell279	3	#00FF66FF
B1_cell280	1	#FF0000FF
B1_cell281	5	#CC00FFFF
B1_cell282	3	#00FF66FF
B1_cell283	3	#00FF66FF
B1_cell284	3	#00FF66FF
B1_cell285	4	#0066FFFF
B1_cell286	2	#CCFF00FF
B1_cell287	4	#0066FFFF
B1_cell288	5	#CC00FFFF
B1_cell289	4	#0066FFFF
B1_cell290	3	#00FF66FF
B1_cell291	3	#00FF66FF
B1_cell292	3	#00FF66FF
B1_cell293	5	#CC00FFFF
B1_cell294	5	#CC00FFFF
B1_cell295	4	#0066FFFF
B1_cell296	4	#0066FFFF
B1_cell297	1	#FF0000FF
B1_cell298	3	#00FF66FF
B1_cell299	2	#CCFF00FF
